country_code,code,name,updated_at,created_at
US,PA,Pennsylvania,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,RI,Rhode Island,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,SC,South Carolina,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,SD,South Dakota,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,TN,Tennessee,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,TX,Texas,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,UT,Utah,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,VT,Vermont,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,VA,Virginia,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,WA,Washington,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,WV,West Virginia,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,WI,Wisconsin,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
US,WY,Wyoming,CURRENT_TIMESTAMP,CURRENT_TIMESTAMP
